District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Gadiguda,23-08-2019,2.8,23.3,28.9,91.4,100,0,14
Adilabad,Gadiguda,24-08-2019,3.3,23.6,26.2,86.8,99.7,0,1.2
Adilabad,Gadiguda,25-08-2019,7.5,24.1,29.4,83.7,100,0.1,2.3
Adilabad,Gadiguda,26-08-2019,4.2,23,27.4,90.4,100,0.1,2.2
Adilabad,Gadiguda,27-08-2019,0,23,27.4,91.4,100,0,2.3
Adilabad,Gadiguda,28-08-2019,1.3,22.2,30.6,78,100,0,1
Adilabad,Gadiguda,29-08-2019,0,23,32.2,74.5,100,0,0.9
Adilabad,Gadiguda,30-08-2019,32.5,24.9,30.8,72.1,100,0,0.2
Adilabad,Gadiguda,31-08-2019,1,22.4,32.8,90.7,100,0,0.6
Adilabad,Gadiguda,01-09-2019,0,23.4,30,95.3,100,0,8.4
Adilabad,Gadiguda,02-09-2019,0,22.6,30.1,90.9,100,0,11.8
Adilabad,Gadiguda,03-09-2019,27.3,22.4,26.1,85.8,100,0,2.7
Adilabad,Gadiguda,04-09-2019,11.3,23.4,26.8,85.8,100,0,1.4
Adilabad,Gadiguda,05-09-2019,1.5,22.4,26.1,95.8,100,0,9.6
Adilabad,Gadiguda,06-09-2019,2.5,22.4,31,89.6,100,0,9
Adilabad,Gadiguda,07-09-2019,9.3,22.4,26.3,98.2,100,0,0.2
Adilabad,Gadiguda,08-09-2019,0,24.7,28,95.8,100,0,5.1
Adilabad,Gadiguda,09-09-2019,0.8,24.1,28.4,93.1,100,0,11.4
Adilabad,Narnoor,01-07-2019,8.4,22,26.2,87.6,100,1.8,12.1
Adilabad,Narnoor,02-07-2019,15.2,21.4,27.1,80.2,100,0,11.1
Adilabad,Narnoor,03-07-2019,36.6,22.5,28.8,80,100,0.2,14.6
Adilabad,Narnoor,04-07-2019,20.2,22.4,27.9,77.9,90.2,7.7,12.1
Adilabad,Narnoor,05-07-2019,6.4,24.1,31.1,66.5,94,0,9.3
Adilabad,Narnoor,06-07-2019,26.9,23.8,30,72.4,85.6,2.5,14
Adilabad,Narnoor,07-07-2019,2.9,23.8,29.4,72.4,91.5,1.9,15.2
Adilabad,Narnoor,08-07-2019,10.4,24.2,30,74.9,87.8,0.4,14
Adilabad,Narnoor,09-07-2019,6.4,22.9,29.9,69.8,100,0.6,13.5
Adilabad,Narnoor,10-07-2019,16.5,23.2,31,66,100,0,15.8
Adilabad,Narnoor,11-07-2019,10.8,23.4,32.4,62.9,99.3,0,13.3
Adilabad,Narnoor,12-07-2019,0,23.3,29.5,71.5,97.4,0,15.2
Adilabad,Narnoor,13-07-2019,5,22.4,31.5,63.4,91.5,0,9.9
Adilabad,Narnoor,14-07-2019,0,25.2,32.8,56.5,91,0,9.6
Adilabad,Narnoor,15-07-2019,0,24.9,35,49.3,84.5,0,12.1
Adilabad,Narnoor,16-07-2019,0,26.1,33.8,45.2,70.1,0,13.3
Adilabad,Narnoor,17-07-2019,0,26.5,34,43.7,67.6,0,12
Adilabad,Narnoor,18-07-2019,0,26.9,34.6,44.2,66.7,0,12.6
Adilabad,Narnoor,19-07-2019,3.6,23.3,35.9,39.9,92.3,0,20
Adilabad,Narnoor,20-07-2019,26.1,23,34.4,72.4,100,0,7.2
Adilabad,Narnoor,21-07-2019,11.3,23.1,31.4,66.5,100,0,3.9
Adilabad,Narnoor,22-07-2019,0,25.2,32.4,65.6,94.5,0,6.5
Adilabad,Narnoor,23-07-2019,0,25.2,32.8,60.2,92.7,0,4
Adilabad,Narnoor,24-07-2019,0,25,33.5,57.5,91.4,0,6.8
Adilabad,Narnoor,25-07-2019,0,25.8,33.1,60.2,86.2,0,10.2
Adilabad,Narnoor,26-07-2019,15.4,22.8,31.1,62.9,98.8,0,14.8
Adilabad,Narnoor,27-07-2019,12.4,22.3,24.9,91.9,100,0,12.8
Adilabad,Narnoor,28-07-2019,30.2,22.4,26.1,85.4,100,0,12.8
Adilabad,Narnoor,29-07-2019,31.4,22.4,25.6,88.4,100,0,13.4
Adilabad,Narnoor,30-07-2019,119.7,21.9,23.4,99.7,100,2.8,19.2
Adilabad,Narnoor,31-07-2019,22,22,24.2,93.6,100,4,19
Adilabad,Narnoor,01-08-2019,6.9,22.5,27.7,81.1,99.3,0,12.2
